,Cloudly,Partly cloudly,Clear sky,accuracy,macro avg,weighted avg
RS ratio precision,0.8582677165354331,0.45454545454545453,0.6290322580645161,0.6701388888888888,0.6472818097151346,0.6931737604005511
RS ratio recall,0.7622377622377622,0.5487804878048781,0.6190476190476191,0.6701388888888888,0.643355289696753,0.6701388888888888
RS ratio f1-score,0.8074074074074074,0.49723756906077343,0.6240000000000001,0.6701388888888888,0.642881658822727,0.6789747913966759
RS diff precision,0.8839285714285714,0.4444444444444444,0.5423728813559322,0.6354166666666666,0.6235819657429826,0.6840823669588676
RS diff recall,0.6923076923076923,0.6341463414634146,0.5079365079365079,0.6354166666666666,0.6114635139025383,0.6354166666666666
RS diff f1-score,0.776470588235294,0.5226130653266332,0.5245901639344263,0.6354166666666666,0.6078912724987845,0.6490928673690965
GHI ratio precision,0.8809523809523809,0.38144329896907214,0.4307692307692308,0.6111111111111112,0.5643883035635613,0.6402534810073469
GHI ratio recall,0.7762237762237763,0.45121951219512196,0.4444444444444444,0.6111111111111112,0.5572959109544475,0.6111111111111112
GHI ratio f1-score,0.8252788104089219,0.4134078212290503,0.43750000000000006,0.6111111111111112,0.5587288772126574,0.6231833723238123
GHI diff precision,0.8148148148148148,0.5,0.6363636363636364,0.6840277777777778,0.6503928170594837,0.6861438458660681
GHI diff recall,0.7692307692307693,0.4634146341463415,0.7777777777777778,0.6840277777777778,0.6701410603849629,0.6840277777777778
GHI diff f1-score,0.7913669064748201,0.48101265822784817,0.7000000000000001,0.6840277777777778,0.6574598549008894,0.6830156444464681
