,Cloudly,Partly cloudly,Clear sky,accuracy,macro avg,weighted avg
RS ratio precision,0.978021978021978,0.43478260869565216,0.7222222222222222,0.6423611111111112,0.7116756029799508,0.7673934610075914
RS ratio recall,0.6223776223776224,0.8536585365853658,0.4126984126984127,0.6423611111111112,0.6295781905538003,0.6423611111111112
RS ratio f1-score,0.7606837606837606,0.5761316872427984,0.5252525252525252,0.6423611111111112,0.620689324393028,0.6566371014673484
RS diff precision,0.9540229885057471,0.35714285714285715,0.41333333333333333,0.5520833333333334,0.5748330596606458,0.6658020890348476
RS diff recall,0.5804195804195804,0.5487804878048781,0.49206349206349204,0.5520833333333334,0.5404211867626502,0.5520833333333334
RS diff f1-score,0.7217391304347825,0.4326923076923077,0.4492753623188405,0.5520833333333334,0.534568933481977,0.57983962746191
GHI ratio precision,0.967032967032967,0.4409937888198758,0.7222222222222222,0.6423611111111112,0.7100829926916883,0.7637055728088337
GHI ratio recall,0.6153846153846154,0.8658536585365854,0.4126984126984127,0.6423611111111112,0.6313122288732044,0.6423611111111112
GHI ratio f1-score,0.7521367521367521,0.5843621399176955,0.5252525252525252,0.6423611111111112,0.620583805768991,0.6547366670823461
GHI diff precision,0.95,0.38524590163934425,0.3484848484848485,0.5729166666666666,0.5612435833747309,0.6576205187117072
GHI diff recall,0.6643356643356644,0.573170731707317,0.36507936507936506,0.5729166666666666,0.5341952537074488,0.5729166666666666
GHI diff f1-score,0.7818930041152263,0.46078431372549017,0.3565891472868217,0.5729166666666666,0.5330888217091794,0.5974310055313796
