Date,ozone,AOD,year,month,day
150101,267.347,0.135,2015,1,1
150102,264.522,0.135,2015,1,2
150103,267.347,0.135,2015,1,3
150104,260.7,0.135,2015,1,4
150105,267.347,0.135,2015,1,5
150106,258.667,0.135,2015,1,6
150107,267.347,0.135,2015,1,7
150108,293.011,0.246,2015,1,8
150109,292.467,0.135,2015,1,9
150110,267.347,0.135,2015,1,10
150111,274.0,0.072,2015,1,11
150112,267.347,0.135,2015,1,12
150113,261.156,0.135,2015,1,13
150114,267.347,0.135,2015,1,14
150115,250.1,0.135,2015,1,15
150116,267.347,0.135,2015,1,16
150117,267.347,0.135,2015,1,17
150118,271.011,0.13,2015,1,18
150119,267.347,0.135,2015,1,19
150120,256.489,0.03,2015,1,20
150121,267.347,0.135,2015,1,21
150122,269.633,0.135,2015,1,22
150123,267.347,0.305,2015,1,23
150124,266.6,0.175,2015,1,24
150125,269.133,0.135,2015,1,25
150126,267.347,0.135,2015,1,26
150127,267.267,0.069,2015,1,27
150128,267.347,0.135,2015,1,28
150129,262.889,0.055,2015,1,29
150130,267.347,0.135,2015,1,30
150131,259.9,0.135,2015,1,31
150201,259.911,0.163,2015,2,1
150202,285.083,0.163,2015,2,2
150203,268.389,0.163,2015,2,3
150204,285.083,0.164,2015,2,4
150205,281.878,0.163,2015,2,5
150206,285.083,0.163,2015,2,6
150207,301.867,0.075,2015,2,7
150208,285.083,0.268,2015,2,8
150209,279.533,0.112,2015,2,9
150210,282.378,0.156,2015,2,10
150211,285.083,0.168,2015,2,11
150212,301.744,0.163,2015,2,12
150213,285.083,0.163,2015,2,13
150214,286.822,0.163,2015,2,14
150215,285.083,0.163,2015,2,15
150216,287.5,0.163,2015,2,16
150217,285.083,0.163,2015,2,17
150218,285.083,0.181,2015,2,18
150219,290.767,0.141,2015,2,19
150220,285.083,0.163,2015,2,20
150221,281.867,0.047,2015,2,21
150222,285.083,0.163,2015,2,22
150223,280.733,0.163,2015,2,23
150224,285.083,0.326,2015,2,24
150225,281.067,0.264,2015,2,25
150226,297.322,0.174,2015,2,26
150227,285.083,0.163,2015,2,27
150228,294.467,0.037,2015,2,28
150301,283.198,0.189,2015,3,1
150302,264.356,0.068,2015,3,2
150303,283.198,0.279,2015,3,3
150304,271.633,0.105,2015,3,4
